id,epic_id,wave,title,branch,dependencies,write_set,verification_commands
AOTEL-001,E05,1,Project scaffold and developer ergonomics,codex/aotel-001-scaffold,,Makefile .env.example .gitignore services/auth-api/pyproject.toml cli/otelctl/pyproject.toml,git diff --check; python -m pytest
AOTEL-002,E01,2,Auth storage and token primitives,codex/aotel-002-auth-storage,AOTEL-001,services/auth-api/src/db.py services/auth-api/src/models.py services/auth-api/src/tokens.py services/auth-api/migrations/ services/auth-api/tests/,git diff --check; python -m pytest services/auth-api/tests
AOTEL-003,E01,3,Auth API verification endpoint,codex/aotel-003-auth-api,AOTEL-002,services/auth-api/src/app.py services/auth-api/src/settings.py services/auth-api/Dockerfile services/auth-api/tests/,git diff --check; python -m pytest services/auth-api/tests
AOTEL-004,E01,3,otelctl user and token CLI,codex/aotel-004-otelctl,AOTEL-002,cli/otelctl/src/otelctl.py cli/otelctl/tests/,git diff --check; python -m pytest cli/otelctl/tests
AOTEL-005,E02,1,Nginx authenticated OTLP ingress,codex/aotel-005-nginx-ingress,,infra/nginx/nginx.conf infra/nginx/README.md,git diff --check
AOTEL-006,E02,1,Collector gateway configuration,codex/aotel-006-collector-gateway,,infra/otel/collector.local.yaml infra/otel/collector.prod.yaml infra/otel/processors/normalize-agent-fields.yaml,git diff --check
AOTEL-007,E02,4,Gateway Compose stack and Make targets,codex/aotel-007-compose-gateway,AOTEL-001 AOTEL-003 AOTEL-004 AOTEL-005 AOTEL-006 AOTEL-008,compose/docker-compose.gateway.yml Makefile .env.example,docker compose -f compose/docker-compose.gateway.yml config; git diff --check
AOTEL-008,E03,1,SigNoz bootstrap,codex/aotel-008-signoz-bootstrap,,compose/docker-compose.signoz.yml infra/signoz/README.md,docker compose -f compose/docker-compose.signoz.yml config; git diff --check
AOTEL-009,E05,5,Smoke and security verification scripts,codex/aotel-009-smoke-tests,AOTEL-007 AOTEL-010 AOTEL-011 AOTEL-012,scripts/smoke-test-otel.py scripts/send-test-log.py docs/operating.md docs/troubleshooting.md,make smoke TOKEN=<issued-token>; git diff --check
AOTEL-010,E04,1,Codex onboarding generator,codex/aotel-010-codex-onboarding,,templates/codex.config.toml scripts/install-codex-otel.sh scripts/backup-codex-config.sh,git diff --check; shellcheck scripts/install-codex-otel.sh scripts/backup-codex-config.sh
AOTEL-011,E04,1,Claude Code onboarding generator,codex/aotel-011-claude-onboarding,,templates/claude.env templates/claude.max-capture.env scripts/install-claude-otel.sh,git diff --check; shellcheck scripts/install-claude-otel.sh
AOTEL-012,E03,1,Starter SigNoz dashboards,codex/aotel-012-dashboards,,infra/signoz/dashboards/codex-overview.json infra/signoz/dashboards/claude-overview.json infra/signoz/dashboards/team-usage.json infra/signoz/dashboards/collector-health.json infra/signoz/dashboards/tool-usage.json,json validation; git diff --check
